Rank,CompanyName,Workers,PreviousWorker,Website,State,City,Growth,Industry,Metro,MetroCode,ZipCode,Founded
670,Marc Brown Law Firm,12,3,marcbrownlawfirm.com,South Carolina,Columbia,701,Legal,Columbia,"Columbia, SC",29201,2019
671,ACLIVITI,27,9,acliviti.com,Illinois,Chicago,701,Telecommunications,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60602,2015
672,Developers.Net,101,30,developers.net,Texas,Austin,700,Human Resources,Austin,"Austin-Round Rock-Georgetown, TX",78701,2017
673,Opkalla,20,6,opkalla.com,North Carolina,Charlotte,699,IT Services,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",28226,2019
674,Integrated Management Strategies,118,89,integratedmanagementstrategies.com,Virginia,Vienna,699,Business Products & Services,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",22182,2014
675,AnthroMed Education,161,28,http://anthromed.education,Illinois,Chicago,699,Education,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60606,2019
676,BetaBlox,1,1,betablox.com,Kansas,Overland Park,697,Business Products & Services,Kansas City,"Kansas City, MO-KS",66212,2012
677,SuitShop,27,9,http://suitshop.com,Colorado,Denver,696,Retail,Denver,"Denver-Aurora-Lakewood, CO",80211,2016
678,MSR Communities,22,3,msrcommunities.com,Washington,Bothell,696,Construction,Seattle,"Seattle-Tacoma-Bellevue, WA",98012,0
679,DataSeers,100,60,dataseers.ai,Georgia,Alpharetta,696,Software,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",30005,2017
680,Dedrone,147,50,dedrone.com,Virginia,Sterling,695,Security,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20166,2014
681,ELK Analytics,32,4,elkanalytics.com,Florida,Naples,695,IT Services,"Naples, FL","Naples-Marco Island, FL",34108,2017
682,Norwood,40,5,norwood.com,Texas,Austin,694,Human Resources,Austin,"Austin-Round Rock-Georgetown, TX",78735,2016
683,IMBServ,45,10,imbserv.com,Virginia,Locust Grove,693,Logistics & Transportation,,,22508,2018
684,Smoothstack,620,49,smoothstack.com,Virginia,McLean,691,IT Services,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",22102,2018
685,Rarebreed Veterinary Partners,2566,639,rarebreedvet.com,Maine,Portland,690,Health Services,Portland,"Portland-South Portland, ME",4101,2018
686,Bros Roofing,12,2,brosroofingllc.com,Colorado,Grand Junction,690,Construction,,"Grand Junction, CO",81501,2018
687,NETFLY,6,4,http://netfly.com,California,Eastvale,688,Advertising & Marketing,Inland Empire,"Riverside-San Bernardino-Ontario, CA",92880,2018
688,SportsGrid,35,15,sportsgrid.com,New Jersey,Holmdel,688,Media,New York,"New York-Newark-Jersey City, NY-NJ-PA",7733,2017
689,MO,26,9,http://themostudio.com,Arizona,Scottsdale,687,Government Services,Phoenix,"Phoenix-Mesa-Chandler, AZ",85251,2016
690,BroCoTec,14,4,brocotec.com,Texas,Houston,687,IT Services,Houston,"Houston-The Woodlands-Sugar Land, TX",77058,2019
691,TFL,108,16,tflgroup.com,Kansas,Overland Park,686,Software,Kansas City,"Kansas City, MO-KS",64108,2004
692,Black Kite,113,17,blackkite.com,Massachusetts,Boston,685,Security,Boston,"Boston-Cambridge-Newton, MA-NH",2199,2016
693,RIND Snacks,10,2,rindsnacks.com,New York,New York,685,Food & Beverage,New York,"New York-Newark-Jersey City, NY-NJ-PA",10011,2017
694,Fox Logistics,38,3,foxlogistics.com,Florida,Starke,685,Logistics & Transportation,,,32091,1991
695,Triquetra,20,7,triquetrahealth.com,Florida,Lithia,682,Consumer Products,Tampa,"Tampa-St. Petersburg-Clearwater, FL",33547,2013
696,Minneapolis Cider Company,80,15,minneapoliscider.co,Minnesota,Minneapolis,682,Food & Beverage,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",55414,2015
697,Coherent Bus Company,101,16,coherentbuscompany.com,Minnesota,Bloomington,682,Logistics & Transportation,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",55420,2015
698,All-County Apparel,66,7,allcountyapparel.com,New Jersey,Lodi,681,Manufacturing,New York,"New York-Newark-Jersey City, NY-NJ-PA",7644,2018
699,InTouch Med Supply,22,4,intouchmedsupply.com,Pennsylvania,King Of Prussia,680,Health Products,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19406,2018
700,Laurel,32,42,laurel.ai,California,San Francisco,679,Software,San Francisco,"San Francisco-Oakland-Berkeley, CA",94104,2018
701,HydroHelp911 Crawl Space and Foundation Repair,15,4,hydrohelp911.com,North Carolina,Iron Station,678,Construction,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",28080,2017
702,ULTRAVIEW Archery,38,5,ultraviewarchery.com,Georgia,Norcross,677,Consumer Products,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",30071,2017
703,SMB Team,91,14,http://smbteam.com,Pennsylvania,Bala Cynwyd,677,Business Products & Services,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19004,2019
704,Ten Little,6,5,tenlittle.com,New York,New York,676,Consumer Products,New York,"New York-Newark-Jersey City, NY-NJ-PA",10003,2019
705,Copper River Infrastructure Services,48,37,copperrivermc.com,Virginia,Chantilly,676,Construction,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20151,2014
706,Elite Roofing,8,2,eliteroofpro.com,Texas,Houston,675,Construction,Houston,"Houston-The Woodlands-Sugar Land, TX",77058,2012
707,LinkSquares,344,62,linksquares.com,Massachusetts,Boston,675,Software,Boston,"Boston-Cambridge-Newton, MA-NH",2109,2015
708,Riser Fitness,373,81,http://riserfit.com,California,"Covina, CA",673,Health Services,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",91723,2013
709,Traveluxe,85,10,traveluxe.com,Illinois,Chicago,673,Travel & Hospitality,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60655,2010
710,Conexon,827,168,conexon.us,Missouri,Kansas City,672,Telecommunications,Kansas City,"Kansas City, MO-KS",64108,2015
711,Trust & Will,81,24,trustandwill.com,California,West Hollywood,670,Financial Services,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",90069,2017
712,RED Group,42,11,https://red.group/,Louisiana,Metairie,670,Engineering,New Orleans,"New Orleans-Metairie, LA",70002,2006
713,Law Offices of Stephen A. Smith,17,1,sasmithlegal.com,Florida,Jacksonville,669,Consumer Services,Jacksonville,"Jacksonville, FL",32202,2010
714,Vivid Commerce,9,3,hellovivid.com,California,Sausalito,669,Financial Services,San Francisco,"San Francisco-Oakland-Berkeley, CA",94965,2017
715,Sphere Rocket VA,15,3,sphererocketva.com,Tennessee,Nashville,668,Human Resources,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",37219,2016
716,PayBright,25,3,gopaybright.com,North Carolina,Raleigh,668,Business Products & Services,Raleigh,"Raleigh-Cary, NC",27604,2012
717,IDEOlogy Health,23,3,http://ideologyhealth.com,Texas,Austin,667,Health Services,Austin,"Austin-Round Rock-Georgetown, TX",78734,2020
718,Pro Restoration,58,5,pro-restorationllc.com,Illinois,Machesney Park,667,Construction,,"Rockford, IL",61115,2019
719,Dreamday,23,1,http://dreamday.la,California,Beverly Hills,665,Advertising & Marketing,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",90211,2019
720,Extraordinary Journeys,30,9,http://extraordinaryjourneys.com,District of Columbia,Washington,665,Travel & Hospitality,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20003,2009
721,Coterie Media,9,3,coteriemedia.com,Texas,Austin,664,Advertising & Marketing,Austin,"Austin-Round Rock-Georgetown, TX",78738,2001
722,Secure Investment Management,130,15,secureinvestmentmanagement.com,Arizona,Tucson,664,Financial Services,,"Tucson, AZ",85704,2012
723,Propagate,17,4,propagateag.com,Colorado,Boulder,664,Business Products & Services,Boulder,"Boulder, CO",80301,2017
724,InFocus Clinical Research,76,12,infocusclinical.com,Tennessee,Brentwood,662,Health Services,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",37027,2015
725,RainwaterCPA,16,3,rainwatercpa.com,Maryland,Bel Air,662,Business Products & Services,Baltimore,"Baltimore-Columbia-Towson, MD",21015,2012
726,Mission Veterinary Partners,7453,2515,missionvetpartners.com,Michigan,Southfield,662,Health Services,Detroit,"Detroit-Warren-Dearborn, MI",48076,2017
727,InstaLend Corporation,3,2,http://instalend.com,New York,New York,662,Financial Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",10038,2016
728,Modern Health,246,42,modernhealth.com,California,San Francisco,661,Health Services,San Francisco,"San Francisco-Oakland-Berkeley, CA",94108,2017
729,Scrub Daddy,272,50,scrubdaddy.com,New Jersey,Pennsauken,660,Consumer Products,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",8110,2012
730,Northern Real Estate Urban Ventures,13,4,nreuv.com,District of Columbia,Washington,659,Real Estate,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20002,2002
731,Nurturing Angels Home Care,150,50,nurturingangelshomecare.com,Delaware,Greenville,658,Health Services,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19807,2017
732,MarginEdge,220,61,marginedge.com,Virginia,Arlington,656,Software,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",22203,2015
733,Zenith Prep Academy,70,6,zenithprepacademy.com,California,Newark,655,Education,San Francisco,"San Francisco-Oakland-Berkeley, CA",94560,2007
734,E78 Partners,285,50,http://e78partners.com,Illinois,Oak Brook,655,Financial Services,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60523,2016
735,MOCA Logistics,29,4,mocalogistics.com,Tennessee,Chattanooga,654,Logistics & Transportation,Chattanooga,"Chattanooga, TN-GA",37409,2018
736,Goldschmitt and Associates,371,53,goldschmitt.com,Virginia,Leesburg,652,IT Services,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20176,1998
737,Polygon.io,38,10,polygon.io,Georgia,Atlanta,652,Software,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",30307,2018
738,Levitate,167,51,levitate.ai,North Carolina,Raleigh,652,Software,Raleigh,"Raleigh-Cary, NC",27604,2017
739,twentytwo & brand,11,3,http://twentytwoandbrand.com,Florida,Gotha,651,Advertising & Marketing,Orlando,"Orlando-Kissimmee-Sanford, FL",34734,2019
740,Wild Oak Boutique,27,9,wildoakboutique.com,South Dakota,Sioux Falls,651,Retail,,"Sioux Falls, SD",57107,2016
741,ObjectiveHealth,174,49,objective.health,Tennessee,Franklin,650,Health Services,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",37067,2018
742,SEI-New York,19,7,http://sei.com,New York,New York,650,Business Products & Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",10014,2013
743,Dog Training Elite,10,3,dogtrainingelite.com,Utah,Sandy,650,Consumer Services,Salt Lake City,"Salt Lake City, UT",84070,1995
744,ARBO,20,3,arbollc.com,Delaware,Middletown,649,Business Products & Services,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19709,2019
745,Summit Energy,265,75,summitsolar.com,Massachusetts,Mansfield,648,Energy,Providence,"Providence-Warwick, RI-MA",2048,2016
746,Delaware Limo,21,5,delaware.limo,Delaware,Wilmington,648,Logistics & Transportation,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19805,2018
747,Eclat Solutions,26,2,eclatprosolutions.com,Texas,Lakeway,647,Business Products & Services,Austin,"Austin-Round Rock-Georgetown, TX",78734,2019
748,RapDev,89,18,rapdev.io,Massachusetts,Boston,645,IT Services,Boston,"Boston-Cambridge-Newton, MA-NH",2109,2018
749,Foxen,100,11,foxen.com,Ohio,Columbus,645,Business Products & Services,Columbus,"Columbus, OH",43215,2018
750,Fivetran,1174,482,fivetran.com,California,Oakland,645,Software,San Francisco,"San Francisco-Oakland-Berkeley, CA",94612,2012
751,Tree of Life Counseling Center,66,15,treeoflifecc.org,New Jersey,Freehold,644,Health Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",7728,2018
752,Bektek Enterprises,21,6,bektekinc.com,New Jersey,Hackensack,644,Business Products & Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",7666,2011
753,SunByrnes Properties & Construction,2,2,sunbyrnes.com,Michigan,Rochester Hills,643,Real Estate,Detroit,"Detroit-Warren-Dearborn, MI",48306,2014
754,Dealer Alchemist,28,10,dealeralchemist.com,Colorado,Lone Tree,643,Advertising & Marketing,Denver,"Denver-Aurora-Lakewood, CO",80124,2015
755,Hirebotics,11,8,hirebotics.com,Tennessee,Nashville,642,Manufacturing,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",37211,2015
756,Tax Relief Advocates,446,93,tra.com,California,Irvine,642,Financial Services,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",92606,2017
757,Patriot Bolt,28,7,patriotbolt.com,Texas,Humble,641,Manufacturing,Houston,"Houston-The Woodlands-Sugar Land, TX",77396,2018
758,JJLA,27,14,jj-la.com,California,Los Angeles,640,Consumer Services,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",90010,2009
759,Konscious House of Brands,62,50,konsciousketo.com,Puerto Rico,San Juan,640,Health Products,San Juan,"San Juan-BayamUn-Caguas, PR",901,2019
760,URComped,15,8,urcomped.com,Texas,Dallas,639,Travel & Hospitality,Dallas,"Dallas-Fort Worth-Arlington, TX",75287,2014
761,Otter PR,46,8,otterpr.com,Florida,St. Petersburg,638,Advertising & Marketing,Tampa,"Tampa-St. Petersburg-Clearwater, FL",33701,2019
762,Chartis Interactive,45,4,chartis.io,New Jersey,WARREN,638,Advertising & Marketing,New York,"New York-Newark-Jersey City, NY-NJ-PA",7059,2019
763,ParentSquare,319,51,parentsquare.com,California,Goleta,637,Education,,"Santa Maria-Santa Barbara, CA",93117,2011
764,Vest Financial,26,13,vestfin.com,Virginia,McLean,636,Financial Services,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",22102,2012
765,Freiling Agency,5,1,freilingagency.com,Virginia,Warrenton,634,Media,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20186,2018
766,Dynepic,41,10,dynepic.com,Nevada,Reno,634,Software,Reno,"Reno, NV",89511,2011
767,ThinkTech IT,7,2,http://thinktechit.com,New York,New York,634,IT Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",10014,2018
768,Pioneer Aero Supply,27,8,pioneer-aero.com,Illinois,Chicago,633,Logistics & Transportation,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60612,2015
769,Steve LeVine Entertainment & Public Relations,20,6,slentertainment.com,Arizona,Scottsdale,633,Advertising & Marketing,Phoenix,"Phoenix-Mesa-Chandler, AZ",85260,2007
770,Sourcegraph,175,69,sourcegraph.com,California,San Francisco,633,Artificial Intelligence,San Francisco,"San Francisco-Oakland-Berkeley, CA",94104,2013
771,The K9 Shop,20,6,thek9shop.com,New York,Bay Shore,633,Retail,New York,"New York-Newark-Jersey City, NY-NJ-PA",11706,2017
772,CGHU Investments,165,52,txedible.com,Texas,Bryan,632,Food & Beverage,"College Station, TX","College Station-Bryan, TX",77801,2019
773,Gifted Travel Network,30,10,giftedtravelnetwork.com,North Carolina,Mooresville,631,Travel & Hospitality,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",28117,2013
774,Caber Hill Advisors,9,5,caberhill.com,Illinois,Chicago,631,Financial Services,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60606,2014
775,JD Marketing Partners,20,3,jdplumbingpartners.com,California,Encinitas,631,Advertising & Marketing,San Diego,"San Diego-Chula Vista-Carlsbad, CA",92024,2018
776,Steiger Dynamics,9,4,steigerdynamics.com,California,REDWOOD CITY,631,Computer Hardware,San Francisco,"San Francisco-Oakland-Berkeley, CA",94063,2012
777,Analytic Vizion,26,4,analyticvizion.com,Georgia,Marietta,630,Business Products & Services,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",30044,2019
778,Fun In Motion Toys,23,6,funinmotiontoys.com,Florida,Dania Beach,630,Consumer Products,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",33004,2010
779,ABCD & Company,21,5,abcdandcompany.com,Maryland,Rockville,630,Advertising & Marketing,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20852,2014
780,ZillaMetrics,8,1,zillametrics.io,North Carolina,Raleigh,629,Advertising & Marketing,Raleigh,"Raleigh-Cary, NC",27601,2019
781,Electronic Data Payment Systems,7,4,edps.com,Ohio,Johnstown,629,Financial Services,Columbus,"Columbus, OH",43031,2003
782,Red Lab Logistics,25,3,redlablogistics.com,South Carolina,Charleston,629,Logistics & Transportation,Charleston,"Charleston-North Charleston, SC",29403,2019
783,Cordova Enterprises,56,17,cordova.solutions,Nebraska,OMAHA,629,Human Resources,Omaha,"Omaha-Council Bluffs, NE-IA",68104,2018
784,Sticker Blitz,40,7,stickerblitz.com,Michigan,Warren,629,Manufacturing,Detroit,"Detroit-Warren-Dearborn, MI",48092,2019
785,Orion180 Insurance Group,114,20,orion180.com,Florida,Melbourne,629,Insurance,Palm Bay,"Palm Bay-Melbourne-Titusville, FL",32901,2017
786,Hexclad,160,49,hexclad.com,California,Los Angeles,627,Consumer Products,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",90033,2017
787,Secured Transport,2,2,securedtransportinc.com,Ohio,Oxford,625,Logistics & Transportation,Cincinnati,"Cincinnati, OH-KY-IN",45056,2007
788,Axiom Consultants,103,20,axiomconsultants.com,Maryland,Rockville,625,Government Services,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20850,2008
789,CT Sounds,6,2,ctsounds.com,Texas,Houston,624,Consumer Products,Houston,"Houston-The Woodlands-Sugar Land, TX",77018,2013
790,Trillion Health and Hormone,31,10,trillionhh.com,Nebraska,Omaha,624,Health Services,Omaha,"Omaha-Council Bluffs, NE-IA",68154,2019
791,rusd solutions,3,1,rusdsolutions.com,New York,Tappan,624,IT Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",10983,2014
792,SpotOn GPS Fence,52,11,spotonfence.com,New Hampshire,Manchester,623,Consumer Products,Manchester,"Manchester-Nashua, NH",3103,2015
793,Gunner,52,8,gunnerroofing.com,Connecticut,Stamford,622,Construction,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",6902,2019
794,Campspot,112,60,software.campspot.com,Michigan,GRAND RAPIDS,622,Travel & Hospitality,Grand Rapids,"Grand Rapids-Kentwood, MI",49503,2015
795,Lean Solutions Group,9400,3500,leangroup.com,Florida,Coral Springs,622,Human Resources,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",33076,2001
796,Llama Naturals,10,3,llamanaturals.com,Illinois,Chicago,621,Consumer Products,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60657,2019
797,STURDY,23,11,http://sturdy.co,California,Los Angeles,619,Media,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",90021,2018
798,HighFive Healthcare,709,133,high5health.com,Alabama,Birmingham,619,Health Services,Birmingham,"Birmingham-Hoover, AL",35209,2018
799,RS Group,38,8,shiprsg.com,Georgia,ATLANTA,619,Logistics & Transportation,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",30336,2016
800,RealGrader,25,12,realgrader.com,Connecticut,"Fairfield, CT",618,Advertising & Marketing,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",6825,2018
801,STAR,35,9,http://engagestar.com,Minnesota,Minneapolis,616,Manufacturing,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",55445,1993
802,GoldenTrust Insurance,80,35,goldentrust.com,Florida,Doral,616,Insurance,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",33122,2015
803,Workit Health,165,81,workithealth.com,Michigan,Ann Arbor,616,Health Services,Ann Arbor,"Ann Arbor, MI",48104,2015
804,Neal Land & Neighborhoods,13,7,http://nealland.com,Florida,Sarasota,616,Real Estate,Sarasota,"North Port-Sarasota-Bradenton, FL",34240,2018
805,Priori Legal,47,14,priorilegal.com,New York,New York,616,Software,New York,"New York-Newark-Jersey City, NY-NJ-PA",10019,2013
806,OCH Technologies,45,8,ochtec.com,Virginia,Sterling,615,Government Services,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20165,2014
807,The Chidolue Law Firm,30,4,chidoluelaw.com,Georgia,Roswell,615,Legal,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",30076,2016
808,Magna Technology Group,42,13,magnatech.io,New York,Brooklyn,614,Business Products & Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",11201,2017
809,Transworld Business Advisors of Colorado,5,2,http://www.transworldcre.com,Colorado,Greenwood Village,614,Business Products & Services,Denver,"Denver-Aurora-Lakewood, CO",80111,2019
810,TimelyCare,238,57,timelycare.com,Texas,Fort Worth,613,Health Services,Dallas,"Dallas-Fort Worth-Arlington, TX",76104,2017
811,SITE Technologies,26,10,http://sitetechnologies.io,Illinois,Chicago,612,Software,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60661,2018
812,Alakai Defense Systems,33,13,alakaidefensesystems.com,Florida,Largo,611,Government Services,Tampa,"Tampa-St. Petersburg-Clearwater, FL",33777,2003
813,Waylens .,21,18,waylens.com,Massachusetts,Waltham,610,Software,Boston,"Boston-Cambridge-Newton, MA-NH",2452,2014
814,Maadho,2,2,maadho.com,New York,Mount Kisco,610,Manufacturing,New York,"New York-Newark-Jersey City, NY-NJ-PA",10549,2018
815,ClassWallet,310,36,classwallet.com,Florida,Hollywood,610,Software,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",33024,2014
816,Greenbacker,203,96,greenbackercapital.com,New York,New York,609,Financial Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",10169,2011
817,Security Technology Group,29,17,securitytechnologygroup.com,Virginia,Virginia Beach,608,Security,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC",23452,2019
818,ProFormance Builder Solutions,127,20,proformanceroofs.com,Florida,Winter Garden,607,Construction,Orlando,"Orlando-Kissimmee-Sanford, FL",34787,2016
819,McClays Logistics USA,22,5,mcclays.com,Michigan,Warren,607,Logistics & Transportation,Detroit,"Detroit-Warren-Dearborn, MI",48093,2019
820,COhatch,85,23,cohatch.com,Ohio,Dublin,605,Real Estate,Columbus,"Columbus, OH",43017,2016
821,Azuna,20,1,azunafresh.com,New York,Buffalo,605,Consumer Products,Buffalo,"Buffalo-Cheektowaga, NY",14203,2019
822,Apploi,68,23,apploi.com,New York,New York,605,Software,New York,"New York-Newark-Jersey City, NY-NJ-PA",10001,2014
823,Pritchard Injury Firm,17,5,pritchardinjuryfirm.com,Georgia,Cartersville,604,Legal,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",30120,2019
824,FuelRod,40,12,fuel-rod.com,California,Poway,602,Consumer Products,San Diego,"San Diego-Chula Vista-Carlsbad, CA",92064,2011
825,Workiz,120,36,workiz.com,California,San Diego,601,Software,San Diego,"San Diego-Chula Vista-Carlsbad, CA",92123,2015
826,Cambridge Companies,44,22,cambridgecoinc.com,Arizona,Scottsdale,601,Construction,Phoenix,"Phoenix-Mesa-Chandler, AZ",85260,1988
827,Alpine Supply Chain Solutions,31,7,alpinesupplychain.com,Florida,Naples,598,Business Products & Services,"Naples, FL","Naples-Marco Island, FL",34108,2017
828,Alafair Biosciences,24,14,alafairbiosciences.com,Texas,Austin,597,Health Products,Austin,"Austin-Round Rock-Georgetown, TX",78730,2011
829,MW Media Group,1,1,mwlocalmedia.com,Indiana,Indianpolis,597,Advertising & Marketing,Indianapolis,"Indianapolis-Carmel-Anderson, IN",46268,2017
830,Global Task,55,9,globaltask.net,Florida,Coral Gables,596,Software,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",33134,2018
831,Meade's Heating and Air,16,4,meadeshvac.com,Virginia,Sterling,596,Construction,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20166,2019
832,StackNexus,380,85,stacknexus.io,California,Sacramento,596,Software,Sacramento,"Sacramento-Roseville-Folsom, CA",95811,2017
833,Configure Partners Securities,24,14,configurepartners.com,Georgia,Atlanta,595,Financial Services,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",30326,2017
834,Antean Technology,35,18,anteantech.com,Virginia,Alexandria,595,IT Services,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",22315,2015
835,Relay Payments,141,31,relaypayments.com,Georgia,Atlanta,595,Financial Services,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",30339,2019
836,Critical Technology Services,31,8,critical-technology.com,Georgia,Peachtree Corners,594,IT Services,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",30071,2019
837,Burtch Works,70,30,http://burtchworks.com,Illinois,Evanston,592,Human Resources,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60201,2009
838,Sauna House,25,12,saunahouse.com,North Carolina,Asheville,592,Consumer Services,Asheville,"Asheville, NC",28801,2019
839,Boostlingo,130,24,boostlingo.com,Texas,Austin,592,Software,Austin,"Austin-Round Rock-Georgetown, TX",78701,2016
840,Texas Start Pharmacy,88,18,texasstarpharmacy.com,Texas,Plano,592,Health Services,Dallas,"Dallas-Fort Worth-Arlington, TX",75023,2018
841,OneOrigin,141,48,oneorigin.us,Arizona,Scottsdale,591,Software,Phoenix,"Phoenix-Mesa-Chandler, AZ",85257,2015
842,Abilitie,31,12,abilitie.com/corporate,Texas,Austin,590,Education,Austin,"Austin-Round Rock-Georgetown, TX",78701,2015
843,Cloud Campaign,30,11,cloudcampaign.com,Oregon,portland,589,Software,Portland,"Portland-Vancouver-Hillsboro, OR-WA",97205,2017
844,Fortuity,117,10,fortuity.com,Ohio,Columbus,589,Business Products & Services,Columbus,"Columbus, OH",43222,2017
845,Lucas James Talent Partners,94,43,lucasjamestalent.com,Illinois,Downers Grove,589,Business Products & Services,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60515,2018
846,Forefront Healthcare,1200,120,forefronthealthcare.com,Michigan,St. Clair Shores,588,Health Services,Detroit,"Detroit-Warren-Dearborn, MI",48080,2019
847,Very Special Games,3,2,veryspecialgames.com,Tennessee,Cordova,588,Consumer Products,Memphis,"Memphis, TN-MS-AR",38018,2019
848,Careficient,75,20,careficient.com,Florida,Jensen Beach,588,Software,,"Port St. Lucie, FL",34957,2017
849,Pye-Barker Fire & Safety,5444,1200,pyebarkerfs.com,Georgia,Alpharetta,587,Business Products & Services,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",30009,1946
850,Ruri Software Technologies,121,19,rurisoft.com,Florida,Tampa,587,Human Resources,Tampa,"Tampa-St. Petersburg-Clearwater, FL",33647,2018
851,Rolling Equity Leasing,26,8,teamrel.com,Wisconsin,Waukesha,585,Logistics & Transportation,Milwaukee,"Milwaukee-Waukesha, WI",53186,2019
852,HMG Plus,398,56,hmgplus.com,New York,New York,585,Travel & Hospitality,New York,"New York-Newark-Jersey City, NY-NJ-PA",10018,2011
853,Obie,86,12,obieinsurance.com,Illinois,Chicago,583,Insurance,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60607,2017
854,NinjaOne,855,170,ninjaone.com,Texas,Austin,583,IT Services,Austin,"Austin-Round Rock-Georgetown, TX",78701,2014
855,Clarity RCM,23,3,clarityrcm.com,California,San Francisco,583,Business Products & Services,San Francisco,"San Francisco-Oakland-Berkeley, CA",94116,2017
856,VOOM Insurance,35,15,voominsurance.com,California,Palo Alto,582,Insurance,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",94303,2017
857,AiFi,137,45,aifi.com,California,Burlingame,582,Software,San Francisco,"San Francisco-Oakland-Berkeley, CA",94010,2016
